Model Name,Type,Multimodal,Stream,Provider,Display Name,Info,Capabilties,Use Case,Input Cost(1M Tokens),Cached Input Cost(1M Tokens),Output Cost(1M Tokens),Comment,
GPT-4o-Alpha,Chat,TRUE,TRUE,Azure,GPT-4o: Alpha,In-depth and detailed,"This model is designed for in-depth language understanding and generation. It excels in handling complex dialogues, providing detailed and nuanced responses, and understanding context deeply.","Ideal for applications that require sophisticated language processing, such as advanced customer service bots, creative content generation, and technical documentation. For example, it can be used in a customer service platform to handle intricate queries and provide comprehensive solutions.",$5 ,None,$15 ,"no GTP-4o-Alpha available so far, select GPT-4o-2024-0513 Global pricing model",https://azure.microsoft.com/en-us/pricing/details/cognitive-services/openai-service/?msockid=3d309799b5be6c262b178258b4056d54
GPT-4o,Chat,TRUE,TRUE,Azure,GPT-4o,In-depth and detailed,"Known for its robust natural language processing abilities, GPT-4o can generate coherent and contextually relevant text. It balances performance and efficiency, making it suitable for a wide range of applications.","Suitable for general text generation tasks, including chatbots, content creation, and interactive storytelling. It can be used in an e-commerce chatbot to provide product recommendations and answer customer inquiries effectively.",$2.75 ,$1.38 ,$11 ,,
GPT-4o-RW,Chat,TRUE,TRUE,Azure,GPT-4o: Legacy,In-depth and detailed,"This model specializes in reasoning and logic, capable of handling complex problem-solving tasks and analyzing structured data.","Ideal for applications requiring logical reasoning, such as legal document analysis, strategic planning, and data-driven decision-making. For instance, it can be used in a legal tech application to analyze contracts and identify potential risks.",$5 ,None,$15 ,"no GTP-4o-RW available so far, select GPT-4o-2024-0513 Global pricing model",
GPT-4o-mini,Chat,TRUE,TRUE,Azure,GPT-4o-mini,"Small, accurate and cheap","A smaller, more resource-efficient version of GPT-4o, offering similar capabilities with reduced computational requirements.","Suitable for environments with limited resources, such as mobile applications and real-time chat interfaces. It can be implemented in a mobile app for real-time language translation with minimal latency.",$0.17 ,$0.08 ,$0.66 ,,
o1-2024-12-17,Chat,FALSE,FALSE,Azure,o1,Best for complex reasoning tasks,"Focused on specific reasoning tasks, this model is adept at handling structured data and complex queries, providing insights and predictions.","Ideal for data analysis, report generation, and decision support systems. It can be used in a financial analysis tool to predict market trends based on historical data.","$16.50
",$8.25 ,$66 ,,
o1-mini-2024-09-12,Chat,FALSE,FALSE,Azure,o1 mini,For quicker reasoning tasks,"A streamlined version of the o1 model, offering basic reasoning capabilities for straightforward data analysis tasks.",Suitable for simple data analysis and report generation tasks. It can be employed in a small business analytics tool to provide insights into sales performance.,$1.21 ,$0.61 ,$4.84 ,,
o3-mini,Chat,FALSE,TRUE,Azure,o3 mini,Fast and inexpensive reasoning,"Excels in handling complex reasoning and logic tasks, suitable for multi-step reasoning processes."," Ideal for applications requiring deep reasoning, such as scientific research and technical analysis. It can be used in a research environment to assist in hypothesis testing and data interpretation.",$1.21 ,$0.61 ,$4.84 ,,
DeepSeek-R1,Chat,FALSE,TRUE,Azure,DeepSeek-R1,Deep reasoning Model,"Specializes in deep learning and data mining, capable of processing large datasets to extract valuable insights and patterns.","Suitable for data science, market analysis, and trend prediction scenarios. It can be implemented in a data science platform to analyze customer behavior and predict future purchasing trends.",$1.35 ,None,$5.40 ,only available in China,https://azure.microsoft.com/en-us/pricing/details/phi-3/#pricing
GPT-4.5-2025-02-27,Chat,TRUE,TRUE,Azure,GPT-4.5 (Preview),Best for complex tasks,"An updated version of GPT, offering enhanced generation and comprehension abilities, suitable for cutting-edge applications.","Ideal for applications requiring the latest technology, such as advanced dialogue systems and content creation. It can be used in a virtual assistant that provides personalized recommendations and interacts naturally with users.",$75.00 ,$37.50 ,$150 ,,
DallE-3,Image,N/A,N/A,Azure,DALLE-3 Classic,"Everyday, High-resolution images","Focuses on image generation, capable of producing high-quality images based on textual descriptions, suitable for creative and design tasks.","Suitable for creative design, advertising, and artistic creation fields. It can be used in a design studio to create concept art and promotional materials.",None,None,None,,
Mars-DallE-3,Image,N/A,N/A,Azure,DALLE-3 Mars,"Branded, Imaginative, High-resolution images","Similar to DallE-3, offering strong image generation capabilities with a focus on branded and imaginative high-resolution images.","Suitable for various creative and design tasks, particularly those requiring branded content. It can be used in a marketing campaign to generate unique visuals aligned with brand identity.",None,None,None,,
auto,Hybrid,TRUE,TRUE,MARS MAX,Auto,Automatically chooses the best model.,"Offers automation capabilities, capable of generating content automatically based on user needs, suitable for quick and efficient content creation.","Ideal for scenarios requiring quick content generation, such as auto-replies, content recommendations, and automated messaging. It can be implemented in a content recommendation engine to suggest articles and videos based on user interests.",None,None,None,,
GPT-4.1,Chat,TRUE,TRUE,Azure,GPT-4.1,In-depth and detailed,"Long Context Processing: It supports a context window of 1 million tokens, which is 8 times that of the previous GPT-4o. It can accurately locate target texts at any depth in the corpus and performs excellently even when facing long texts of 1 million tokens.
Complex Dialogue Understanding: In the Multi - Round Coreference test, GPT - 4.1 shows strong understanding and reasoning abilities through synthetic dialogue. It can accurately find specific content in complex dialogues.","Thomson Reuters' professional AI assistant CoCounsel uses GPT - 4.1. GPT - 4.1 performs excellently in multi - document review. Compared with GPT - 4o, its accuracy in internal long - context benchmark tests for multi - document review is increased by 17%.",$2 ,$0.50 ,$8 ,,
